site_id,site_name,coordinate,river_name,sub_river_name,address
s1362130400010,通殿（内）（つうどの（うち））,北緯 36度05分38秒 東経 139度25分40秒,荒川,通殿川,埼玉県熊谷市玉作
s303041283308010,寄居（よりい）,北緯 36度06分45秒 東経 139度11分51秒,荒川,荒川,埼玉県大里郡寄居町寄居
s303041283308020,植松橋（うえまつばし）,北緯 36度08分07秒 東経 139度16分56秒,荒川,荒川,埼玉県深谷市川本町本田
s303041283308030,熊谷（くまがや）,北緯 36度08分17秒 東経 139度22分42秒,荒川,荒川,埼玉県熊谷市榎町
s303041283308040,大芦橋（おおあしばし）,北緯 36度05分02秒 東経 139度26分18秒,荒川,荒川,埼玉県熊谷市小八林
s303041283308050,太郎右衛門橋（たろうえもんはし）,北緯 35度59分07秒 東経 139度31分10秒,荒川,荒川,埼玉県桶川市柏原
s303041283308060,治水橋（ぢすいばし）,北緯 35度53分27秒 東経 139度33分35秒,荒川,荒川,埼玉県さいたま市西区飯田新田
s303041283308080,玉作（たまつくり）,北緯 36度05分31秒 東経 139度25分46秒,荒川,和田吉野川,埼玉県熊谷市玉作
s303041283308110,小見野（おみの）,北緯 36度01分05秒 東経 139度28分52秒,荒川,市野川,埼玉県比企郡川島町松永
s303041283308140,小ヶ谷（おがや）,北緯 35度55分19秒 東経 139度27分16秒,荒川,入間川,埼玉県川越市小ヶ谷
s303041283308150,入間川落合橋（いるまがわおちあいばし）,北緯 35度57分22秒 東経 139度28分27秒,荒川,入間川,埼玉県川越市福田
s303041283308160,菅間（すがま）,北緯 35度57分10秒 東経 139度30分40秒,荒川,入間川,埼玉県川越市鹿飼
s303041283308170,今宿（いまじゅく）,北緯 35度57分57秒 東経 139度20分42秒,荒川,越辺川,埼玉県比企郡鳩山町今宿319
s303041283308180,入西（にっさい）,北緯 35度58分44秒 東経 139度22分41秒,荒川,越辺川,埼玉県坂戸市沢木
s303041283308190,高坂橋（たかさかばし）,北緯 35度59分01秒 東経 139度24分07秒,荒川,越辺川,埼玉県坂戸市片柳
s303041283308200,越辺川落合橋（おっぺがわおちあいばし）,北緯 35度57分22秒 東経 139度28分27秒,荒川,越辺川,埼玉県比企郡川島町下伊草
s303041283308210,坂戸（さかど）,北緯 35度58分38秒 東経 139度23分28秒,荒川,高麗川,埼玉県坂戸市上吉田
s303041283308220,唐子橋（からこばし）,北緯 36度01分09秒 東経 139度22分55秒,荒川,都幾川,埼玉県東松山市西本宿
s303041283308230,野本（のもと）,北緯 36度00分29秒 東経 139度25分15秒,荒川,都幾川,埼玉県東松山市下押垂
s303041283308240,八幡橋（やはたばし）,北緯 35度56分07秒 東経 139度26分30秒,荒川,小畔川,埼玉県川越市名細
s303041283308250,小畔川落合橋（こあぜがわおちあいばし）,北緯 35度57分22秒 東経 139度28分27秒,荒川,小畔川,埼玉県川越市福田
s303041283308300,天神橋（てんじんばし）,北緯 35度59分17秒 東経 139度26分12秒,荒川,越辺川,埼玉県坂戸市大字赤尾
s303041283309010,笹目（ささめ）,北緯 35度48分06秒 東経 139度38分54秒,荒川,荒川,埼玉県戸田市早瀬
s303041283309040,岩淵水門（上）（いわぶちすいもん（かみ））,北緯 35度47分15秒 東経 139度43分39秒,荒川,荒川,東京都北区志茂5丁目
s303041283309060,芝川水門（表）（しばかわすいもん（おもて））,北緯 35度47分01秒 東経 139度44分37秒,荒川,荒川,埼玉県川口市領家5丁目
s303041283309061,芝川水門（裏）（しばかわすいもん（うら））,北緯 35度47分01秒 東経 139度44分37秒,荒川,芝川,埼玉県川口市領家6丁目
s303041283309070,西新井（にしあらい）,北緯 35度45分35秒 東経 139度47分36秒,荒川,荒川,東京都足立区梅田4丁目
s303041283309080,綾瀬水門（表）（あやせすいもん（おもて））,北緯 35度45分01秒 東経 139度49分12秒,荒川,荒川,東京都葛飾区堀切4丁目
s303041283309081,綾瀬水門（裏）（あやせすいもん（うら））,北緯 35度45分01秒 東経 139度49分12秒,荒川,荒川,東京都葛飾区堀切4丁目
s303041283309090,隅田水門（表）（すみだすいもん（おもて））,北緯 35度44分33秒 東経 139度49分04秒,荒川,荒川,東京都墨田区墨田5-23-5
s303041283309091,隅田水門（裏）（すみだすいもん（うら））,北緯 35度44分33秒 東経 139度49分04秒,荒川,隅田川,東京都墨田区墨田5-23-5
s303041283309100,中川水門（表）（なかがわすいもん（おもて））,北緯 35度43分14秒 東経 139度50分39秒,荒川,荒川,東京都葛飾区新小岩3丁目
s303041283309101,中川水門（裏）（なかがわすいもん（うら））,北緯 35度43分14秒 東経 139度50分39秒,荒川,中川,東京都葛飾区新小岩4丁目
s303041283309110,小名木川（おなぎがわ）,北緯 35度40分59秒 東経 139度50分50秒,荒川,荒川,東京都江戸川区小松川1-1-1
s303041283309120,南砂町（みなみすなまち）,北緯 35度39分16秒 東経 139度50分31秒,荒川,荒川,東京都江東区南砂町3-8
s303041283309140,志木（しき）,北緯 35度49分57秒 東経 139度35分03秒,荒川,新河岸川,埼玉県志木市本町2-10
s303041283309180,岩淵水門（下）（いわぶちすいもん（しも））,北緯 35度47分06秒 東経 139度43分55秒,荒川,隅田川,東京都北区志茂5丁目
s303041283309200,霊岸島（れいがんじま）,北緯 35度40分19秒 東経 139度46分58秒,荒川,隅田川,東京都中央区新川2-32-1
s303041283320010,川又（かわまた）,北緯 35度56分14秒 東経 138度51分00秒,荒川,荒川,埼玉県秩父市大滝3434
